ond,avg_daily_searches,nb_days
PAR-YMQ,2711.0,1
PAR-RUN,2545.0,1
PAR-NYC,2292.0,1
PAR-DXB,2218.0,1
PAR-RAK,2154.0,1
PAR-TUN,2149.0,1
PAR-PTP,2126.0,1
PAR-MAD,1971.0,1
PAR-LON,1937.0,1
PAR-FDF,1814.0,1
PAR-ROM,1718.0,1
PAR-IST,1709.0,1
PAR-BKK,1694.0,1
PAR-ALG,1528.0,1
PAR-CUN,1514.0,1
PAR-LIS,1505.0,1
PAR-OPO,1451.0,1
PAR-DKR,1402.0,1
PAR-MIL,1367.0,1
PAR-LAX,1337.0,1
PAR-BCN,1321.0,1
PAR-VCE,1314.0,1
PAR-MIA,1137.0,1
PAR-SFO,1128.0,1
PAR-CAS,1079.0,1
PAR-HKT,1057.0,1
PAR-TLV,1041.0,1
NTE-RAK,1029.0,1
PAR-SJO,941.0,1
PAR-DEL,896.0,1
PAR-TCI,865.0,1
LYS-RAK,862.0,1
SXB-TUN,857.0,1
PAR-SVQ,848.0,1
PAR-AGA,808.0,1
PAR-DPS,772.0,1
PAR-PUJ,766.0,1
PAR-AGP,765.0,1
PAR-BUD,744.0,1
PAR-ZRH,742.0,1
NCE-PAR,725.0,1
PAR-BEY,719.0,1
BSL-IST,713.0,1
PAR-PRG,700.0,1
PAR-CPH,700.0,1
TLS-PAR,695.0,1
PAR-TLS,683.0,1
PAR-TYO,682.0,1
LYS-LON,676.0,1
PAR-ATH,675.0,1
PAR-SAO,666.0,1
MRS-RAK,665.0,1
PAR-VIE,655.0,1
PAR-STO,649.0,1
PAR-AMS,647.0,1
PAR-HEL,630.0,1
PAR-BER,620.0,1
PAR-OUD,617.0,1
PAR-MRU,612.0,1
PAR-ZNZ,604.0,1
PAR-MEX,602.0,1
PAR-AMM,601.0,1
BOD-FUE,595.0,1
PAR-ABJ,591.0,1
PAR-CAI,583.0,1
PAR-NCE,575.0,1
LYS-IST,569.0,1
PAR-WAS,551.0,1
PAR-SXM,550.0,1
PAR-LIM,549.0,1
PAR-DUB,548.0,1
MRS-PAR,547.0,1
PAR-WAW,536.0,1
LYS-TUN,531.0,1
LYS-BCN,529.0,1
